Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,2.38,2.43,2.35,2.40,72402000,2.40
2014-01-01,2.48,2.48,2.35,2.38,65333500,2.38
2013-12-02,2.62,2.68,2.42,2.48,86537400,2.48
2013-11-01,2.56,2.63,2.51,2.62,88041400,2.62
2013-10-01,2.50,2.59,2.47,2.55,84758500,2.55
2013-09-02,2.47,2.75,2.45,2.50,170813200,2.50
2013-08-01,2.45,2.73,2.44,2.47,74720300,2.47
2013-07-01,2.45,2.61,2.41,2.45,83524600,2.45
2013-06-03,2.73,2.75,2.38,2.46,115061900,2.46
2013-05-01,2.69,2.80,2.66,2.73,94021500,2.58
2013-04-01,2.69,2.76,2.67,2.69,71154300,2.54
2013-03-01,3.00,3.01,2.64,2.70,162037300,2.55
2013-02-01,3.07,3.28,2.86,3.00,200269000,2.83
2013-01-01,2.80,3.11,2.75,3.08,226079900,2.91
2012-12-03,2.60,2.83,2.58,2.80,125266900,2.65
2012-11-01,2.50,2.65,2.50,2.60,60587300,2.46
2012-10-01,2.46,2.53,2.44,2.50,35057300,2.36
2012-09-03,2.47,2.50,2.38,2.46,58692100,2.32
2012-08-01,2.51,2.55,2.47,2.48,40780400,2.34
2012-07-02,2.58,2.59,2.44,2.52,43837800,2.38
2012-06-01,2.65,2.68,2.53,2.59,53947500,2.45
2012-05-01,2.72,2.76,2.64,2.64,66761600,2.38
2012-04-02,2.68,2.75,2.63,2.72,52802700,2.46
2012-03-01,2.74,2.75,2.61,2.68,109831800,2.42
2012-02-01,2.69,2.77,2.68,2.75,80213200,2.48
2012-01-02,2.60,2.73,2.59,2.70,79646500,2.44
2011-12-01,2.58,2.63,2.51,2.62,69404100,2.37
2011-11-01,2.66,2.69,2.52,2.54,68674000,2.29
2011-10-10,2.45,2.72,2.43,2.68,153834600,2.42
2011-09-01,2.60,2.62,2.44,2.46,98828500,2.22
2011-08-01,2.67,2.70,2.53,2.61,101237200,2.36
2011-07-01,2.80,2.81,2.63,2.68,157310800,2.42
2011-06-01,2.86,2.86,2.61,2.80,131918700,2.53
2011-05-03,2.92,2.95,2.76,2.84,122462200,2.52
2011-04-01,2.76,3.01,2.75,2.94,248333900,2.61
2011-03-01,2.61,2.78,2.60,2.76,217593000,2.45
2011-02-01,2.61,2.69,2.59,2.61,144851700,2.31
2011-01-04,2.66,2.68,2.57,2.62,141335100,2.32
2010-12-01,2.61,2.69,2.55,2.68,192367700,2.38
2010-11-01,2.75,2.91,2.58,2.61,325525700,2.31
2010-10-08,2.64,3.10,2.62,2.76,433993000,2.45
2010-09-01,2.68,2.70,2.52,2.61,235895700,2.31
2010-08-02,2.78,2.81,2.68,2.69,391924100,2.39
2010-07-15,2.74,2.88,2.68,2.79,1045341100,2.47
