Date,Open,High,Low,Close,Volume,Adj Close
2014-02-17,2.41,2.41,2.40,2.40,61490700,2.40
2014-02-10,2.37,2.43,2.37,2.41,109750400,2.41
2014-02-03,2.38,2.38,2.35,2.37,13071600,2.37
2014-01-27,2.36,2.40,2.35,2.38,44690100,2.38
2014-01-20,2.36,2.40,2.35,2.37,75309800,2.37
2014-01-13,2.40,2.42,2.35,2.36,75626800,2.36
2014-01-06,2.46,2.46,2.39,2.41,80242000,2.41
2013-12-30,2.47,2.50,2.44,2.46,53655100,2.46
2013-12-23,2.47,2.48,2.42,2.46,65601700,2.46
2013-12-16,2.54,2.55,2.44,2.45,85433800,2.45
2013-12-09,2.64,2.64,2.52,2.53,77760900,2.53
2013-12-02,2.62,2.68,2.61,2.64,107537600,2.64
2013-11-25,2.60,2.63,2.58,2.62,60609600,2.62
2013-11-18,2.54,2.63,2.53,2.60,123511600,2.60
2013-11-11,2.55,2.57,2.51,2.54,71605500,2.54
2013-11-04,2.57,2.58,2.52,2.55,72274000,2.55
2013-10-28,2.49,2.59,2.48,2.56,141987400,2.56
2013-10-21,2.49,2.53,2.48,2.48,100139400,2.48
2013-10-14,2.51,2.51,2.48,2.49,74828200,2.49
2013-10-07,2.50,2.52,2.47,2.51,83162000,2.51
2013-09-30,2.49,2.51,2.49,2.50,10347000,2.50
2013-09-23,2.55,2.58,2.48,2.49,100143000,2.49
2013-09-16,2.64,2.65,2.53,2.54,98823400,2.54
2013-09-09,2.50,2.75,2.50,2.63,410399100,2.63
2013-09-02,2.47,2.49,2.45,2.47,72958100,2.47
2013-08-26,2.46,2.49,2.44,2.47,65670900,2.47
2013-08-19,2.50,2.53,2.44,2.47,69549900,2.47
2013-08-12,2.46,2.73,2.45,2.50,105614700,2.50
2013-08-05,2.47,2.48,2.44,2.46,49036400,2.46
2013-07-29,2.48,2.50,2.42,2.46,63036500,2.46
2013-07-22,2.50,2.55,2.48,2.48,70438700,2.48
2013-07-15,2.52,2.57,2.49,2.52,83216000,2.52
2013-07-08,2.47,2.61,2.45,2.51,91993100,2.51
2013-07-01,2.45,2.53,2.41,2.48,92615900,2.48
2013-06-24,2.57,2.59,2.38,2.46,183373600,2.46
2013-06-17,2.71,2.72,2.56,2.57,82798400,2.43
