Date,Open,High,Low,Close,Volume,Adj Close
2014-02-18,2119.07,2119.07,2119.07,2119.07,000,2119.07
2014-02-17,2135.42,2135.42,2135.42,2135.42,000,2135.42
2014-02-14,2115.85,2115.85,2115.85,2115.85,000,2115.85
2014-02-13,2098.40,2098.40,2098.40,2098.40,000,2098.40
2014-02-12,2109.96,2109.96,2109.96,2109.96,000,2109.96
2014-02-11,2103.67,2103.67,2103.67,2103.67,000,2103.67
2014-02-10,2086.07,2086.07,2086.07,2086.07,000,2086.07
2014-02-07,2044.50,2044.50,2044.50,2044.50,000,2044.50
2014-01-30,2033.08,2033.08,2033.08,2033.08,000,2033.08
2014-01-29,2049.91,2049.91,2049.91,2049.91,000,2049.91
2014-01-28,2038.51,2038.51,2038.51,2038.51,000,2038.51
2014-01-27,2033.30,2033.30,2033.30,2033.30,000,2033.30
2014-01-24,2054.39,2054.39,2054.39,2054.39,000,2054.39
2014-01-23,2042.18,2042.18,2042.18,2042.18,000,2042.18
2014-01-22,2051.75,2051.75,2051.75,2051.75,000,2051.75
2014-01-21,2008.31,2008.31,2008.31,2008.31,000,2008.31
2014-01-20,1991.25,1991.25,1991.25,1991.25,000,1991.25
2014-01-17,2004.95,2004.95,2004.95,2004.95,000,2004.95
2014-01-16,2023.70,2023.70,2023.70,2023.70,000,2023.70
2014-01-15,2023.35,2023.35,2023.35,2023.35,000,2023.35
2014-01-14,2026.84,2026.84,2026.84,2026.84,000,2026.84
2014-01-13,2009.56,2009.56,2009.56,2009.56,000,2009.56
2014-01-10,2013.30,2013.30,2013.30,2013.30,000,2013.30
2014-01-09,2027.62,2027.62,2027.62,2027.62,000,2027.62
2014-01-08,2044.34,2044.34,2044.34,2044.34,000,2044.34
2014-01-07,2047.32,2047.32,2047.32,2047.32,000,2047.32
2014-01-06,2045.71,2045.71,2045.71,2045.71,000,2045.71
2014-01-03,2083.14,2083.14,2083.14,2083.14,000,2083.14
2014-01-02,2109.39,2109.39,2109.39,2109.39,000,2109.39
2013-12-31,2115.98,2115.98,2115.98,2115.98,000,2115.98
2013-12-30,2097.53,2097.53,2097.53,2097.53,000,2097.53
2013-12-27,2101.25,2101.25,2101.25,2101.25,000,2101.25
2013-12-26,2073.10,2073.10,2073.10,2073.10,000,2073.10
2013-12-25,2106.35,2106.35,2106.35,2106.35,000,2106.35
2013-12-24,2092.91,2092.91,2092.91,2092.91,000,2092.91
2013-12-23,2089.71,2089.71,2089.71,2089.71,000,2089.71
2013-12-20,2084.79,2084.79,2084.79,2084.79,000,2084.79
2013-12-19,2127.79,2127.79,2127.79,2127.79,000,2127.79
2013-12-18,2148.28,2148.28,2148.28,2148.28,000,2148.28
2013-12-17,2151.08,2151.08,2151.08,2151.08,000,2151.08
2013-12-16,2160.86,2160.86,2160.86,2160.86,000,2160.86
2013-12-13,2196.07,2196.07,2196.07,2196.07,000,2196.07
2013-12-12,2202.80,2202.80,2202.80,2202.80,000,2202.80
2013-12-11,2204.17,2204.17,2204.17,2204.17,000,2204.17
2013-12-10,2237.49,2237.49,2237.49,2237.49,000,2237.49
2013-12-09,2238.20,2238.20,2238.20,2238.20,000,2238.20
2013-12-06,2237.11,2237.11,2237.11,2237.11,000,2237.11
2013-12-05,2247.06,2247.06,2247.06,2247.06,000,2247.06
2013-12-04,2251.76,2251.76,2251.76,2251.76,000,2251.76
2013-12-03,2222.67,2222.67,2222.67,2222.67,000,2222.67
2013-12-02,2207.37,2207.37,2207.37,2207.37,000,2207.37
2013-11-29,2220.50,2220.50,2220.50,2220.50,000,2220.50
2013-11-28,2219.37,2219.37,2219.37,2219.37,000,2219.37
2013-11-27,2201.07,2201.07,2201.07,2201.07,000,2201.07
2013-11-26,2183.07,2183.07,2183.07,2183.07,000,2183.07
2013-11-25,2186.11,2186.11,2186.11,2186.11,000,2186.11
2013-11-22,2196.38,2196.38,2196.38,2196.38,000,2196.38
2013-11-21,2205.77,2205.77,2205.77,2205.77,000,2205.77
2013-11-20,2206.61,2206.61,2206.61,2206.61,000,2206.61
2013-11-19,2193.12,2193.12,2193.12,2193.12,000,2193.12
2013-11-18,2197.22,2197.22,2197.22,2197.22,000,2197.22
2013-11-15,2135.83,2135.83,2135.83,2135.83,000,2135.83
2013-11-14,2100.51,2100.51,2100.51,2100.51,000,2100.51
2013-11-13,2087.94,2087.94,2087.94,2087.94,000,2087.94
2013-11-12,2126.77,2126.77,2126.77,2126.77,000,2126.77
2013-11-11,2109.47,2109.47,2109.47,2109.47,000,2109.47
2013-11-08,2106.13,2106.13,2106.13,2106.13,000,2106.13
2013-11-07,2129.40,2129.40,2129.40,2129.40,000,2129.40
2013-11-06,2139.61,2139.61,2139.61,2139.61,000,2139.61
2013-11-05,2157.24,2157.24,2157.24,2157.24,000,2157.24
2013-11-04,2149.63,2149.63,2149.63,2149.63,000,2149.63
2013-11-01,2149.56,2149.56,2149.56,2149.56,000,2149.56
2013-10-31,2141.61,2141.61,2141.61,2141.61,000,2141.61
2013-10-30,2160.46,2160.46,2160.46,2160.46,000,2160.46
2013-10-29,2128.86,2128.86,2128.86,2128.86,000,2128.86
2013-10-28,2133.87,2133.87,2133.87,2133.87,000,2133.87
2013-10-25,2132.96,2132.96,2132.96,2132.96,000,2132.96
2013-10-24,2164.32,2164.32,2164.32,2164.32,000,2164.32
